Name,Frequency
RIFKI,972
ZİYATTİN,972
GÜROL,970
KARABEY,963
MERT,963
OLGUN,963
CANİP,962
GÜRHAN,961
CİNDİ,956
ÇERKEZ,950
GÜNDÜZ,949
ÖMER LÜTFİ,947
ADIGÜZEL,945
FEYAT,945
SALİH ZEKİ,942
ZAHİT,935
NESİP,926
REİS,923
HÜDAVERDİ,921
RIZVAN,920
FERAMUZ,916
BAHAETTİN,913
MÜMÜN,913
TARKAN,912
ABDUSSELAM,907
ÖZTÜRK,904
RECEP ALİ,903
ŞUAYIP,901
KURTULUŞ,900
ŞIHO,899
MEHMET CEMİL,898
ABDULKADIR,893
ARAFAT,893
FAYIK,891
ATIF,886
MİHRALİ,873
NECATTİN,871
ESER,867
ZEYNELABİDİN,861
HÜSMEN,857
ASKERİ,856
KİBAR,855
SADUN,855
AHMET DURAN,854
KARİP,854
ALAİTTİN,852
AYDEMİR,852
MEHMET HAYRİ,850
ZARİF,848
ALLAHVERDİ,847
BESTAMİ,841
GÜRAY,840
MEHMET HİLMİ,837
İSAK,834
APTULLAH,828
GİYASETTİN,828
SIDIK,825
MEHMET HALİL,818
CEYLAN,816
ALİ HİKMET,814
CENK,813
MEHMET HALİT,813
MEHMET NUR,813
ERMAN,811
ŞİHO,811
ABDULMUTTALİP,810
FATİH MEHMET,810
LEZGİN,807
MACİT,807
NABİ,804
TAHA,804
NAMİ,803
TAŞKIN,802
MEHMET SIDIK,800
TÜRKER,800
SAYİM,799
HÜSEYİN ALİ,798
YUSUF KENAN,798
CESUR,797
GÜRGİN,796
GÜZEL,795
KASİM,784
MEHMET LATİF,784
İMRAN,780
REMAZAN,778
MEHMET KAMİL,776
İBRAHİM ETEM,772
YADİGAR,770
NESİMİ,769
ESET,767
MEHMET BAKİ,766
ABDURRAZAK,765
SİYAMİ,764
MÜKERREM,763
FAHREDDİN,762
NASRETTİN,761
TAŞTAN,759
ASAF,755
KADİM,753
ŞAHAP,753
HAYREDDİN,749
NAYİF,748
HAZİM,747
GAFUR,746
TEYMUR,746
ABDULHALİK,745
DÜNDAR,741
MUSTAN,741
HACI YUSUF,740
ÜBEYİT,739
YONUS,737
MEHMET VEYSİ,735
MEHMET ZİYA,728
BERAT,727
İZETTİN,726
ŞIH MEHMET,726
ABDULLA,725
VAHYETTİN,725
TUGAY,724
HALİLİBRAHİM,723
ERSEN,719
ZÜLKİF,716
MUSA KAZIM,715
KEKO,714
RAHMAN,711
MAHMUT NEDİM,708
ÇAPAN,708
ALPAY,707
BAKIR,705
MEHMET FARUK,705
YÜSÜF,704
BABA,703
MASUM,701
SEVDİN,701
ALİ GALİP,699
SEYFEDDİN,699
CUMAALİ,697
BEYHAN,696
GENÇAĞA,692
TEFİK,692
ABDULVAHİT,691
ZEKERYA,688
İNAN,688
KAAN,683
ABDURREZZAK,681
MUHTAR,681
DAĞISTAN,677
ZEYDİN,676
MEHMET HANEFİ,675
MÜLAZİM,675
ULAŞ,672
ŞEMSİ,671
CEBBAR,669
GÖKSAL,667
TUNAY,667
KERAMETTİN,666
ZEKAYİ,666
HAMDİN,665
MEHMET HADİ,665
BEKİR SITKI,664
MEHMET ATA,664
AHMET NURİ,663
HAKKİ,663
SİLO,663
ABDULHALIK,662
SAYIM,661
ZEKERİYYA,660
ÖZDEN,660
GÖKAY,658
GÜLALİ,655
HATEM,654
FAYİK,652
RASIM,652
SİRAÇ,650
YEMEN,649
ABDÜLHAMİT,648
NADİM,646
MÜFİT,644
İSKAN,644
TOSUN,641
HACİ ALİ,640
SACİT,640
İBO,637
EMİRHAN,636
RACİ,630
ALİBEY,625
MEHMET NECATİ,625
ALİ CAN,620
APDULLAH,620
BİRCAN,619
BEDİ,618
GENCO,617
MÜRTEZA,617
ABDULSEMET,616
ERDİ,616
HAKİ,615
BEHRAM,612
YEMLİHA,611
KORKMAZ,610
ABDULSAMET,609
ABDÜLMECİT,608
MEHMET ŞAHİN,608
TEZCAN,608
SIRACETTİN,606
SIDKI,605
TEMÜR,604
MEHMET MURAT,603
HÜSEYİN CAHİT,602
MEHRALİ,600
SUNAY,599
MEMET ZEKİ,598
OSMAN ZEKİ,592
YUSUF İZZETTİN,591
ŞEREFETTİN,591
NADIR,590
KIYAS,589
TORUN,589
ŞERİF AHMET,589
EFRAHİM,583
HAFİZ,583
DİYAP,582
HÜMMET,581
ÇOŞKUN,580
HASRET,579
NURHAN,579
HULİSİ,578
SALAHADDİN,577
BAHİTTİN,576
HACI İSMAİL,576
MEHMET CELAL,575
MEHMET HÜSEYİN,575
CELALEDDİN,574
EFRAİM,574
SEYDİ AHMET,572
SÜLEYMAN SIRRI,572
ANIL,571
GÜLABİ,571
MURTEZA,571
ALADDİN,569
AHMET ZEKİ,568
HÜSNİ,568
EDNAN,566
ELMAS,566
SERTAÇ,564
BUBO,563
FARAÇ,562
VAHDET,561
ASEF,560
BAYRAMALİ,560
MEHMET NACİ,560
HAMET,559
BORA,558
KİYASETTİN,558
ŞEMDİN,558
AHMED,555
NÜSRETTİN,555
ZÜBEYİT,555
AHMET ŞÜKRÜ,553
MUNZUR,552
MEHMET METİN,548
HACI VELİ,547
KAHRİMAN,545
VAROL,545
DÜZGÜN,542
GAFFAR,540
ERKUT,537
ABDULVEHAP,536
ALETTİN,536
AZİM,536
MEHMET SAMİ,535
NOMAN,534
NİMETULLAH,534
İMAM HÜSEYİN,532
HACI EMİN,531
TACEDDİN,531
TEOMAN,531
ALİ SAİT,528
BEDİH,528
CEZAİR,526
KOÇALİ,526
MENSUR,526
TURABİ,526
ABDÜSSELAM,525
HACI HALİL,525
ABDÜLBAKİ,521
KATİP,521
TUNA,518
FARİZ,516
VEFA,512
GÜLAĞA,511
MEHMET FAHRİ,510
AHMET KEMAL,509
ÜLFET,509
YAVUZ SELİM,508
AHMET YAŞAR,507
ULVİ,507
CENGİZHAN,505
AHMET REMZİ,504
MEHMET FAİK,504
MÜLAYİM,502
MEHMET REMZİ,501
MAHSUN,500
MUHAMMED ALİ,500
DEMİR ALİ,499
HEKİM,499
KAPLAN,499
TAYLAN,498
FAZLİ,497
ALİRİZA,495
MUSTAFA NURİ,495
LÜTFULLAH,494
HEYBET,492
SERVER,492
MEHMED,491
ZEYNETTİN,491
CEZAYİR,490
TALHA,490
ŞÜKRİ,490
EFKAN,489
KADIR,488
MEHMET REFİK,486
TEYYAR,486
AĞABEY,485
ABDÜL,484
HASO,483
ÖZHAN,483
AHMET EMİN,482
MUSTAFA SABRİ,482
TÜRKAY,482
MEHTİ,481
ALAY,480
ABO,479
ŞAMMAS,479
GÜLAHMET,478
ÜBEYDULLAH,478
DEVRİM,477
KÖROĞLU,477
MEHMET NİYAZİ,476
MERDAN,475
SEYFİTTİN,475
DURMUŞALİ,474
LEZGİ,473
MUZAFER,473
SEMİR,473
NECİM,472
NASIF,471
BEDRAN,468
İZZEDDİN,467
HALDUN,466
ALİ MEHMET,465
ŞEKER,465
AYDİN,463
MEHMET SİNAN,463
ÇAĞRI,462
HÜDAYİ,461
HİLAL,459
ŞIHMEHMET,459
HABEŞ,456
MAŞUK,456
MEHMET HULUSİ,455
TACDİN,455
TEVRAT,455
VASIF,453
ŞAH İSMAİL,453
DEDO,452
YÜSUF,452
HASSO,451
AŞİR,449
ÜMRAN,449
ŞENTÜRK,449
ERDEN,448
OKAY,448
REYHAN,448
RAMİ,447
NAZIR,446
ÜÇLER,446
ALİEKBER,445
DURHASAN,445
SAFA,445
SÜPHİ,445
ABDULMUTALİP,444
YEMLİHAN,444
ABDAL,443
HAKVERDİ,443
MEHMET KAZIM,443
ERBİL,441
ABDULĞANİ,440
ABDURRAZZAK,440
BİRKAN,440
CAMAL,440
HUDEYDA,440
NADİ,440
SELAMET,440
AGAH,438
ALKAN,438
MEMET SAİT,438
HAFIZ,436
MUSTAFA ASIM,436
